work_id,title,fandom,trope,kudos,num_chapters,total_words,avg_words_per_chapter,total_comments,avg_comments_per_chapter,url,tags
15783759,To Hurt and Heal,harry_potter,hurt_comfort,18534,1,21650,21650,20,20.0,https://archiveofourown.org/works/15783759,"Slow Burn, Pining, Hogwarts Eighth Year, Post-Canon, Pining Harry, Pining Draco Malfoy, Pining Harry Potter, Mutual Pining, Hogwarts Era, Hurt/Comfort, Angst with a Happy Ending, Fluff"
8770888,Mother May I,harry_potter,hurt_comfort,15415,11,43288,3935,220,20.0,https://archiveofourown.org/works/8770888,"Alternate Universe - Canon Divergence, Canonical Child Abuse, Family, Friendship, Hurt/Comfort, Family Drama, Racism, Racist Language, Seriously Warnings for Mary Lou Barebone, Legilimency, Self-Harm, Torture, Aftermath of Torture, Big Happy Suitcase Family, Do not repost, Don't copy to another site"
11678955,trapped in a blue haze,harry_potter,hurt_comfort,31784,1,5616,5616,20,20.0,https://archiveofourown.org/works/11678955,"Established Relationship, Dating, Falling In Love, Past Child Abuse, Implied/Referenced Child Abuse, Abusive Dursley Family, Smut, Porn With Plot, Explicit Sexual Content, Angst, Fluff and Angst, Hurt/Comfort, Emotional Hurt/Comfort, Cuddling & Snuggling, Domestic, Domestic Fluff, Draco Malfoy is Clueless About Muggle Things, Confessions, Food Issues, Post-War, Post-Hogwarts, Auror Harry Potter, Top Draco Malfoy, Bottom Harry Potter, POV Draco Malfoy, Character Study, Hurt Harry, Protective Draco, Complete, Explicit Language, Post-Deathly Hallows, Fluff, Fluff and Smut, One Shot, Abuse, Sexual Content, Whump, Anal Sex, First Time, Injury, Sickfic, Sick Harry, Abused Harry, Angsty Schmoop, Harry Potter Epilogue What Epilogue | EWE"
12922518,Things Worth Knowing,harry_potter,hurt_comfort,16136,10,164372,16437,200,20.0,https://archiveofourown.org/works/12922518,"First Time, Coming Out, Blowjobs, Sex Pollen, House Rivalries, Dark Arts, Potions, New teachers, Post-War Relations, Angst, Hurt/Comfort, Dramatic Gestures, Rule Flouting And Breaking, Frenemies with Benefits, Slow Burn, Magic, Discussion Of Learning Disability, Major Parental Injury, Offscreen Prison Violence, Onscreen Homophobic Comments, Realistic Internalised Homophobia, Anti-Slytherin Bias, Post-War Trauma, Nightmares, Grief, Hogwarts Eighth Year, Community: hd_erised, Fights, Intercrural Sex, Hand Jobs, Canon-Typical Violence, Bisexuality, Coming Out as Bisexual, Accepting one's sexuality, Canon het relationship morphing into bisexual awakening, Bisexual Harry Potter, explicit mentions of past Harry/Ginny sexual encounters as part of a bisexual coming out narrative"
15260055,Vellum Voices,harry_potter,hurt_comfort,16939,3,16487,5496,59,19.7,https://archiveofourown.org/works/15260055,"Book 5: Harry Potter and the Order of the Phoenix, Alternate Universe - Canon Divergence, Angst, Torture, Minor Character Death, Parseltongue, Hurt/Comfort"
15275916,"there will come a time, you'll see",harry_potter,hurt_comfort,13173,1,10757,10757,20,20.0,https://archiveofourown.org/works/15275916,"Fluff, Hurt/Comfort, Trauma, Post-Traumatic Stress Disorder - PTSD, mentions of bi harry, Golden Trio, Future Fic, Post-Canon, Age Regression/De-Aging, Platonic Bed Sharing"
16052816,Away Childish Things,harry_potter,hurt_comfort,60215,13,154292,11869,260,20.0,https://archiveofourown.org/works/16052816,"Age Regression/De-Aging, Past Child Abuse, Past Malnutrition, Past Neglect, Past Touch Deprivation, Dyslexia, Eating Disorders, Verbal Abuse, Internalized Homophobia, Homophobia, Biphobia, Homophobic Slurs, Pure-blood Bigotry, Pure-blood Slurs, Crying, Grief/Mourning, Off-screen death of a secondary character, the Death is an Implied Suicide, Mommy Issues, Daddy Issues, Toxic Masculinity, Long Hair, Emotional Dysfunction, Age Difference, Blood, Bodyswap (kind of), Love Potion/Spell, Potions Accident, Family, Hurt/Comfort, heavy on the comfort, Endearments, Bacon, salad"
48296950,Little Lamb Gone to Slaughter,harry_potter,hurt_comfort,12876,15,89414,5961,295,19.7,https://archiveofourown.org/works/48296950,"Alternate Universe - Canon Divergence, Angst and Hurt/Comfort, Hurt Harry Potter, Suicidal Harry Potter, POV Harry Potter, Morally Grey Harry Potter, It Gets Worse Before It Gets Better, Book 4: Harry Potter and the Goblet of Fire, Canon Rewrite, Traumatized Harry Potter, Harry Potter Has PTSD, Sarcastic Harry Potter, Manipulative Albus Dumbledore, Good Slytherins, Harry Potter is a Horcrux, Parselmouths & Parseltongue (Harry Potter), Sane Voldemort (Harry Potter), Slow Burn, BAMF House-Elves (Harry Potter), Animagus Harry Potter, Animagus Draco Malfoy, Smart Draco Malfoy, Magically Powerful Harry Potter, Magically Powerful Draco Malfoy, Cedric Diggory Lives"
10460622,"Balance, Imperfect",harry_potter,hurt_comfort,15391,10,90794,9079,200,20.0,https://archiveofourown.org/works/10460622,"Physical Disability, Angst, Healing, Hurt/Comfort, Healer Draco Malfoy, Depression, Longing, Domesticity, dubious medical ethics, Romance, Post-War, HP: EWE, Anal Fingering, Anal Sex, Oral Sex, Rimming, Complete, Dating, Falling In Love, Disability"
27453043,Harry Potter and the Immortal's Playground,harry_potter,hurt_comfort,18696,10,24846,2485,192,19.2,https://archiveofourown.org/works/27453043,"Master of Death Harry Potter, Magically Powerful Harry Potter, Post-Traumatic Stress Disorder - PTSD, Panic Attacks, Hurt/Comfort, Angst, Post-snap, A bit sad, People tell me the teacup deserves a name, anthropomorphic inanimate objects, several unsuccessful suicides but such is the nature of being the master of death, potentially triggering to folks struggling to live, I've been there so stay safe y'all, but Harry literally can't die, Or even turn into the moon, Though then Tony could tell Thor ""That's rough buddy"", father-teacup relationship, Self-Indulgent, Crack Treated Seriously, Crack, Crossover, Crossover Pairings, Crack Crossover"
11036913,If stars died of old age,harry_potter,hurt_comfort,13282,1,5125,5125,20,20.0,https://archiveofourown.org/works/11036913,"Veela Draco Malfoy, Breaking Up & Making Up, Sickfic, Angst, Emotional Hurt/Comfort, Angst with a Happy Ending"
31787320,Love from Scars,harry_potter,hurt_comfort,13022,6,20203,3367,120,20.0,https://archiveofourown.org/works/31787320,"harry is a hero, Fluff, These Heroes Deserve to be Happy, Harry Potter is a Little Shit, Aizawa Shouta | Eraserhead Loves His Students, Aizawa Shouta is a Chaos Gremlin, Hurt/Comfort"
14976980,Of Bookshelves and Baby Carriers,harry_potter,hurt_comfort,12862,5,11934,2387,100,20.0,https://archiveofourown.org/works/14976980,"Alternate Universe - Muggle, Alternate Universe - Modern Setting, Raising Harry Potter, Hurt/Comfort, Fluff, Community: HPFT, Chronically Ill Remus Lupin, Remus Lupin Has Self-Esteem Issues"
32700394,The Watergaw,harry_potter,hurt_comfort,15936,10,39987,3999,197,19.7,https://archiveofourown.org/works/32700394,"Enemies to Friends to Lovers, Stranded, Magical Accidents, Banter, Hurt/Comfort, Huddling For Warmth, Explicit Sexual Content, Scotland, Virgin Draco Malfoy, lots of swears, Slow Burn, Bad Wine, just a couple sapiosexuals roaming the countryside"
27875561,words upon my skin,harry_potter,hurt_comfort,15306,1,13385,13385,20,20.0,https://archiveofourown.org/works/27875561,"Alternate Universe - Soulmates, Soulmate-Identifying Marks, Fluff, Angst, Implied/Referenced Child Abuse, Good Regulus Black, Regulus Black Deserves Better, Sirius Black is a Good Sibling, Gay Regulus Black, Bisexual James Potter, Gay Sirius Black, Soulmates, Short Regulus Black, i'm making that a thing, Height Differences, Indian James Potter, POC James Potter, Marauders Era (Harry Potter), Regulus Black is a Good Sibling, Regulus Black Lives, James Potter Lives, Asexual Peter Pettigrew, Walburga Black's A+ Parenting, Pretty Regulus Black, i'm making that a thing too!, soulmate words, Hurt/Comfort"
17732855,The Source of Grief,harry_potter,hurt_comfort,30342,2,14858,7429,31,15.5,https://archiveofourown.org/works/17732855,"Time Travel, Time Travel Fix-It, Time Travelling Harry Potter, BAMF Harry Potter, Powerful Harry Potter, kicking names taking ass, HE'S HERE TO FIX EVERYONE'S PROBLEMS, Horcrux Destruction, Identity Porn, Angst, Hurt/Comfort, Found Family, FUCK peter pettigrew, Regulus Black Feels, he's not in this but there are still RAB feels, Sirius Black Free from Azkaban, Good Narcissa Black Malfoy, Hints of Snarry if you squint, Protective Remus Lupin, Minor Sirius Black/Remus Lupin"
20551733,A Big Black Sky,harry_potter,hurt_comfort,25741,13,90484,6960,260,20.0,https://archiveofourown.org/works/20551733,"Parent Draco Malfoy, Parent Harry Potter, Abusive Relationships, Domestic Violence, Child Abuse, Homelessness, Angst with a Happy Ending, Eventual Fluff, Domestic Fluff, Hurt/Comfort, dark themes, The Ministry of Magic (Harry Potter) is Terrible, Happy Ending, Harry Potter Needs a Hug, Draco Malfoy Needs a Hug, Harry Potter Raises Teddy Lupin, Everyone Needs A Hug, Tooth-Rotting Fluff, Slow Burn, Pining Draco Malfoy, But it's very very subtle and repressed, Panic Attacks, Protective Harry Potter, Falling In Love, Smitten Harry Potter, Mutual Pining, Alternate Universe - Canon Divergence, Harry Potter Epilogue What Epilogue | EWE, Down and Out Draco Malfoy, Fluff and Hurt/Comfort, Angst and Romance, Kid Fic, Post Mpreg, Implied/Referenced Rape/Non-con"
8169415,Two Weeks,harry_potter,hurt_comfort,24371,1,21961,21961,20,20.0,https://archiveofourown.org/works/8169415,"Pining, Auror Partners, Auror Harry Potter, Auror Draco Malfoy, Friends to Lovers, Hurt/Comfort, Romance, First Time, Anal Sex, Masturbation, Phone Sex, Bottom Harry Potter, Top Draco Malfoy, Veela, Veela Harry Potter, Creature Fic, Muggle Technology"
23168287,disguised as something else,harry_potter,hurt_comfort,15642,1,3114,3114,20,20.0,https://archiveofourown.org/works/23168287,"Past Child Abuse, Child Neglect, Alternate Universe - Everyone Lives/Nobody Dies, AU where the war ends early and sirius and remus gain custody over harry, Hurt/Comfort, Childhood Trauma, Golden Trio"
7950793,The Dark Guardian,harry_potter,hurt_comfort,12277,6,25126,4188,83,13.8,https://archiveofourown.org/works/7950793,"Alternate Universe - Canon Divergence, Crossovers & Fandom Fusions, Slytherin Harry Potter, No Voldemort, he's not coming back this time around, Protective Severus Snape, Protective Pitch Black, Mentor Severus Snape, Severus Snape Adopts Harry Potter, Child Abuse, Slice of Life, Parseltongue, Humor, Banter, Snowball Fight, Fluff, Protective Jack Frost (Guardians of Childhood), Blizzard of '68, Emotional Hurt/Comfort, ASL, Halloween, Father's Day, Families of Choice, Don't copy to another site"
21715060,Ink (My Skin With Your Name),harry_potter,slow_burn,10355,1,22091,22091,20,20.0,https://archiveofourown.org/works/21715060,"Alternate Universe - Tattoos, Tattooed Draco Malfoy, Angst, Slow Burn, Slightly Oblivious Draco, A lot of character exploration as always, Self-Hatred, Mentions of PTSD, Happy Ending, Harry Potter Epilogue What Epilogue | EWE, Tattooed Harry Potter, Trauma, No Smut"
56119057,The Gallows,harry_potter,slow_burn,21862,23,47421,2062,455,19.8,https://archiveofourown.org/works/56119057,"Angst, Heavy Angst, Hurt/Comfort, Angst and Hurt/Comfort, Found Family, Draco Malfoy Has Long Hair, references to execution, Traumatized Draco Malfoy, Broken Draco Malfoy, Post-Battle of Hogwarts, Draco Malfoy in Azkaban, Hermione is trying her best, marriage law, Slytherins adopt Hermone, Good Slytherins, Trauma, Unresolved Trauma, Agoraphobia, Suicidal Ideation, Suicidal Thoughts, Discussions of Suicide, Illusions to starvation, discussions of torture, Aftermath of Torture, Imprisonment, Discussions of Death, Psychological Trauma, Grief, Implied/Referenced Self-Harm, Discussions of grief, PTSD, Post-Traumatic Stress Disorder - PTSD, This one is gonna hurt, No Pregnancy, Explicit Sexual Content, like... eventually, Post-War Trauma, Slow Burn, Pansy Parkinson is a Menace, Pretty much everyone is queer, Sassy Theo Nott, Maybe book an appointment with your therapist after this one, Eventual HEA, But you're going to work for it, DO NOT PUT ON GOODREADS, Complete"
3171550,Running on Air,harry_potter,slow_burn,70005,17,75962,4468,340,20.0,https://archiveofourown.org/works/3171550,"Mystery, Drama, Friendship, Slow Burn, Romance"
40944369,In These Silent Days,harry_potter,slow_burn,16090,14,66935,4781,280,20.0,https://archiveofourown.org/works/40944369,"Harry Potter Epilogue What Epilogue | EWE, Not Epilogue Compliant, Post-War, Forced Marriage, marriage law, Strangers to Lovers, Flower Language, Romance, Angst, Angst with a Happy Ending, Slow Burn, Ministry of Magic (Harry Potter), Ministry of Magic Employee Hermione Granger, POV Hermione Granger, Panic Attacks, Explicit Language, Explicit Sexual Content, Art, NSFW Art"
9065263,Written on the Heart,harry_potter,slow_burn,41598,20,116819,5841,398,19.9,https://archiveofourown.org/works/9065263,"Hogwarts Eighth Year, Soulmarks, Slow Burn, flangst, Community: hd_erised, Slytherins, Families of Choice, Falling In Love, Pining, Bad Dreams, HP: EWE, getting drunk, copious swearing, Sarcasm, Muggle Studies, Muggle Fine Dining, wanking, sucking cock, Angst, Bad Decisions, Unexpected friendships, Teasing, Coming Out, Kissing, Famous Harry Potter, UST, Happy Ending, Blaise Zabini's dubious porn collection, Clubbing"
29558628,all my cards are here,harry_potter,slow_burn,16596,18,112674,6260,352,19.6,https://archiveofourown.org/works/29558628,"Alternate Universe - Rock Band, Band Fic, Slow Burn, Alternate Universe - Modern Setting, Marauders, Modern Marauders (Harry Potter), Getting Together, Fuck JKR, Pining, Musicians, Internet Famous, Fame, Friends to Lovers, Friends With Benefits, Secret Relationship, Happy Ending, Angst with a Happy Ending"
18960145,Grounds for Divorce,harry_potter,slow_burn,15505,10,124600,12460,200,20.0,https://archiveofourown.org/works/18960145,"Slow Burn, Pining, UST, Anal Sex, brief but all the same enthusiastic rimming, One (1) lemon tree, Accidental Bonding, And I mean like U! S! T!, Jealousy, Deals with Trauma, They both top at some point, ron is a good friend, Draco is a Good Cook, Dubious Consent due to the Accidental Bonding, The actual SLOWEST burn, Hurt/Comfort, Have I mentioned UST? Cannot overstate this it's like A LOT, First there's frottage, And then there's more sex, Anal Fingering, Blow Jobs, Hand Jobs, and just a lot of sex, sex on a bed, sex in the shower, sex on the floor, Sex on a settee, In other news they go to Egypt, Teddy is a Small Bean, There is one (1) cat, and one (1) happy ending"
23872387,Draco Malfoy and the Mirror of Ecidyrue,harry_potter,slow_burn,41402,18,90264,5015,359,19.9,https://archiveofourown.org/works/23872387,"Time Travel, Slow Burn, Hermione Granger & Draco Malfoy Friendship, Fluff and Angst, Snarky Draco Malfoy, Abuse, Post-Traumatic Stress Disorder - PTSD, Slightly unreliable narrator, Character Study"
10547500,For Now You Love Me,harry_potter,slow_burn,11101,5,13932,2786,74,14.8,https://archiveofourown.org/works/10547500,"Alternate Universe-No Voldemort, fake dating au, fake relationships, Enemies to Lovers, established relationships - Freeform, Pining, Slow Burn, Fluff"
52884502,"BLOODY, SLUTTY, AND PATHETIC",harry_potter,slow_burn,30962,21,195822,9325,420,20.0,https://archiveofourown.org/works/52884502,"Enemies to Lovers, Slow Burn, marriage law, Forced Marriage, Post-War, Angst, Post-Traumatic Stress Disorder - PTSD, Pining Draco Malfoy, Morally Grey Draco Malfoy, Jealous Draco Malfoy, Possessive Draco Malfoy, Morally Grey Hermione Granger, BDE Neville Longbottom, BAMF Neville Longbottom, Azkaban Tattooed Draco Malfoy, Therapy Made Me Worse So I Started Writing Fanfic"
10313534,Roar,harry_potter,slow_burn,10047,10,62948,6295,200,20.0,https://archiveofourown.org/works/10313534,"wampus!Graves, Animal Transformation, Grindelwald messing about with things that should not be messed about with, Hurt/Comfort, Protective Newt, Graves makes friends with Newt's menagerie, Non-Graphic Violence, Slow Burn, Developing Relationship"
25918393,Draco Malfoy and the Wheel of Hecate,harry_potter,slow_burn,25454,24,173153,7215,480,20.0,https://archiveofourown.org/works/25918393,"Time Travel, Slow Burn, Fluff and Angst, Post-Traumatic Stress Disorder - PTSD, Character Study, Draco Malfoy Needs a Hug, Snarky Draco Malfoy, Unreliable Narrator, Anti-Hero, Yule Ball (Harry Potter), Prophecy, Duelling, Unforgivable Curses (Harry Potter)"
30758501,Heroes all have a Saving People Thing,harry_potter,slow_burn,16921,25,94328,3773,500,20.0,https://archiveofourown.org/works/30758501,"Dadzawa - An Aizawa Shota Zine, Parental Aizawa Shouta | Eraserhead, The Golden Trio, Found Family, BAMF Aizawa Shouta | Eraserhead, Harry Needs a Hug, And Gets One, Harry Potter Epilogue What Epilogue | EWE, Harry becomes a hero, Supportive Class 1-A (My Hero Academia), All the friendship and recovery, Harry and Izuku bond over trauma, Fluff, Hurt/Comfort, Slow Burn"
38829984,Ten out of Ten,harry_potter,slow_burn,24377,16,61617,3851,320,20.0,https://archiveofourown.org/works/38829984,"Post-War, Harry Potter Epilogue What Epilogue | EWE, Forced Marriage, marriage law, Magical Bond, Enemies to Lovers, Forced Proximity, Unredeemed Draco Malfoy, Slow Burn, Sexual Tension, Unresolved Sexual Tension, Tension with Plot, Angst, Fluff, Domestic Fluff, Banter, Eventual Smut, Smut, Praise Kink, Spit Kink, (mostly just spit as lube but also extra?), (listen you'll have to take it up with the characters i just work here), Possessive Draco Malfoy, Hermione is a good neighbour, draco is good with kids, Draco Malfoy in the Muggle World, Angst with a Happy Ending, Dirty Talk"
14380728,Love and Other Misfortunes,harry_potter,slow_burn,18533,23,98218,4270,363,15.8,https://archiveofourown.org/works/14380728,"Ministry of Magic, Past Hermione Granger/Ron Weasley, Adult Hermione Granger, Veela Draco Malfoy, Pining Draco Malfoy, Veela Mates, Mythical Beings & Creatures, Creature Fic, Workplace Relationship, Mystical Creatures, Magical Bond, Manipulation, Slow Burn, Mating Bond, Mating Bites, Eventual Smut, Harry Potter Epilogue What Epilogue | EWE"
18394907,The Left Words,harry_potter,slow_burn,19074,11,236136,21467,220,20.0,https://archiveofourown.org/works/18394907,"Slow Burn, Alternate Universe - Soulmates, Soulmate-Identifying Marks, Implied/Referenced Child Abuse, Bullying, Slytherin Harry Potter, Smart Harry, Manipulative Albus Dumbledore, Suicide Attempt, Character Bashing, Translation Available"
23832304,Resurrection,harry_potter,slow_burn,10851,9,41904,4656,180,20.0,https://archiveofourown.org/works/23832304,"technically a Time Travel AU, this fic is very Dumbledore critical, Hogwarts Redo with a Twist, Morally Grey Harry Potter, Harry is 3 mental disorders in a trenchcoat, like he is dissociating hardcore, memory loss may or may not be temporary, hints of PTSD, overpowered and badass Harry, but i like to think I balance him out pretty well, Implied/Referenced Child Abuse, the story diverges from canon the more it goes along, Canon Typical Violence, Strong Language, do the deja-vu brain and the lizard brain count as characters, the relationship tag refers more to the rest of the series, because Harry is 11 here jfc, Golden Trio Friendship for the Win, no overt character bashing, slow slow slow burn btw, rating changed to mature for gratuitous language and some violence, better safe than sorry, tags to be added or changed at my discretion"
23785468,My Beautiful Boy,harry_potter,slow_burn,8959,13,69904,5377,260,20.0,https://archiveofourown.org/works/23785468,"Minor Harry Potter/Ginny Weasley, Smitten Draco Malfoy, Pining Draco Malfoy, Hogwarts Eighth Year, Requited Unrequited Love, Parallel Universes, in a dream, Past Torture, Fluff and Angst, Angst with a Happy Ending, Post-Battle of Hogwarts, Draco Malfoy Needs a Hug, Slow Burn, and when i say slow burn, I mean THE SLOWEST, Obsessive Harry, Suicidal Thoughts, Down and Out Draco Malfoy"
16036310,Soup-pocalypse and The Great Curry Cataclysm,harry_potter,slow_burn,40237,15,104278,6952,299,19.9,https://archiveofourown.org/works/16036310,"Veela Draco Malfoy, Veela Mates, Teddy Lupin was Raised by Harry Potter, Parent Harry Potter, Depression, Mental Health Issues, Slow Burn, Enemies to Lovers, Angst, Humor, Hurt/Comfort, Explicit Sexual Content, Bottom Draco Malfoy, Top Harry Potter, Past Suicide Attempt, H/D Food Fair 2018, Ministry of Magic Employee Draco Malfoy, Harry Potter Thinks Draco Malfoy is Up to Something, Draco Malfoy Cooks, Courtship, Food Issues, Romance, Pining Draco Malfoy, Auror Harry Potter, Post-Hogwarts, Harry Potter Epilogue What Epilogue | EWE"
24509584,Draco Malfoy and the Heir of Slytherin,harry_potter,slow_burn,31497,17,94668,5569,340,20.0,https://archiveofourown.org/works/24509584,"Time Travel, Slow Burn, Fluff and Angst, Post-Traumatic Stress Disorder - PTSD, Character Study, Unreliable Narrator, Draco Malfoy Needs a Hug"
47948368,Let's Play Pretend,harry_potter,slow_burn,9121,13,70241,5403,260,20.0,https://archiveofourown.org/works/47948368,"Fake/Pretend Relationship, Fake Dating, Meet-Cute, remus and sirius are both hot mess dads, they are both skittish about dating, so they pretend not to date, when they clearly fucking are dating, Fluff and Smut, Eventual Smut, Romance, Gay Sirius Black, Bisexual Remus Lupin, Baby Harry Potter, Baby Teddy Lupin, POV Sirius Black, Sirius Black Raises Harry Potter, Raising Teddy Lupin, Teddy is adorable chaos, Harry is cool and skeptical, Sirius is smitten, He can’t help it, Remus is very hot, Slow Burn, Angst Lite, actually maybe it’s not that light, but it is only temporary, it will have a very happy ending!, Teddy chaos Lupin, Alternate Universe - Non-Magical, Grief/Mourning, Alternate Universe - Modern Setting"
24779923,Another Mind Game,harry_potter,slow_burn,44107,17,54262,3192,340,20.0,https://archiveofourown.org/works/24779923,"Child Abuse, Mentor Severus Snape, Strong Harry Potter, Sassy Harry Potter, Slow Burn, Fluff and Angst, Albus Dumbledore Bashing, not terribly but a bit, He gets better, Magically Powerful Harry Potter, Snape becomes more OOC overtime, slow burn severitis, Crack Treated Seriously, I mean it's kinda crack, but only sometimes, Implied/Referenced Child Abuse, Severus Snape Adopts Harry Potter, but it's kinda low-key, and sometimes high-key, So there!, presumed suicidal, protective hogwarts, Abusive Dursley Family (Harry Potter), BAMF Harry Potter, Severitus | Severus Snape is Harry Potter's Parent"
